simulation,finalist_1,finalist_2,champion
775,Morocco,Argentina,Morocco
776,Spain,Argentina,Argentina
777,Belgium,Netherlands,Netherlands
778,France,Argentina,France
779,France,Brazil,France
780,Belgium,Brazil,Brazil
781,France,Argentina,Argentina
782,Netherlands,Morocco,Morocco
783,France,Brazil,France
784,France,Brazil,France
785,Croatia,Argentina,Argentina
786,France,Argentina,France
787,Belgium,Portugal,Belgium
788,Spain,Argentina,Spain
789,Spain,Brazil,Spain
790,France,Croatia,France
791,Belgium,Spain,Spain
792,Spain,Argentina,Argentina
793,Belgium,England,England
794,France,England,England
795,Spain,England,England
796,Belgium,Argentina,Argentina
797,Belgium,Argentina,Argentina
798,France,Argentina,France
799,England,Uruguay,England
800,France,Argentina,Argentina
801,Belgium,Croatia,Croatia
802,Germany,Brazil,Germany
803,France,Brazil,France
804,France,Argentina,Argentina
805,France,Argentina,France
806,Spain,Argentina,Argentina
807,Spain,Argentina,Spain
808,France,Argentina,France
809,France,Argentina,France
810,France,England,France
811,France,Turkey,France
812,Netherlands,Argentina,Argentina
813,Spain,Argentina,Argentina
814,Morocco,Croatia,Morocco
815,France,Argentina,Argentina
816,France,Brazil,Brazil
817,Germany,Argentina,Argentina
818,Netherlands,Croatia,Netherlands
819,France,Brazil,France
820,France,Germany,France
821,France,Argentina,Argentina
822,Spain,Argentina,Spain
823,Spain,Argentina,Argentina
824,France,Argentina,France
825,Spain,Morocco,Spain
826,Spain,Morocco,Spain
827,France,Argentina,France
828,France,Argentina,France
829,France,Argentina,France
830,Brazil,Belgium,Belgium
831,France,Argentina,France
832,Spain,Portugal,Spain
833,Croatia,England,Croatia
834,France,Argentina,Argentina
835,France,Brazil,France
836,Germany,Argentina,Argentina
837,France,Brazil,France
838,Spain,Argentina,Spain
839,France,Portugal,France
840,Brazil,Croatia,Croatia
841,Spain,Argentina,Spain
842,Uruguay,Argentina,Argentina
843,France,Argentina,Argentina
844,France,Argentina,Argentina
845,Spain,Argentina,Argentina
846,Belgium,Argentina,Argentina
847,England,Spain,Spain
848,France,Argentina,France
849,Spain,Argentina,Argentina
850,France,Brazil,France
851,United States,Portugal,Portugal
852,France,Argentina,Argentina
853,France,England,France
854,France,Spain,France
855,Netherlands,Argentina,Argentina
856,France,Portugal,France
857,France,Argentina,France
858,Spain,Argentina,Argentina
859,Spain,Argentina,Spain
860,France,Argentina,Argentina
861,France,Morocco,France
862,Morocco,Belgium,Belgium
863,France,Spain,France
864,Portugal,Argentina,Argentina
865,France,England,France
866,France,Argentina,Argentina
867,Uruguay,Portugal,Portugal
868,France,Argentina,Argentina
869,Spain,Morocco,Spain
870,England,Germany,England
871,France,Argentina,Argentina
872,Netherlands,Brazil,Brazil
873,Spain,Portugal,Spain
874,France,Argentina,Argentina
875,France,England,France
876,France,Portugal,France
877,France,Argentina,Argentina
878,Spain,Argentina,Argentina
879,Spain,England,Spain
880,Spain,Argentina,Argentina
881,Spain,Brazil,Spain
882,Spain,Brazil,Spain
883,France,Argentina,Argentina
884,France,Argentina,France
885,France,Argentina,Argentina
886,France,Argentina,France
887,Croatia,Argentina,Argentina
888,France,Argentina,France
889,France,Brazil,Brazil
890,France,Netherlands,France
891,France,England,France
892,Spain,Argentina,Argentina
893,France,United States,France
894,Germany,Croatia,Croatia
895,England,Morocco,Morocco
896,Spain,Argentina,Argentina
897,France,England,England
898,Belgium,Argentina,Argentina
899,France,Argentina,Argentina
900,Morocco,Argentina,Morocco
901,France,Argentina,France
902,Spain,Portugal,Spain
903,France,Argentina,Argentina
904,France,Netherlands,France
905,France,Argentina,France
906,Netherlands,Brazil,Brazil
907,Spain,Argentina,Argentina
908,Spain,Argentina,Argentina
909,Netherlands,Argentina,Argentina
910,Spain,England,England
911,Spain,Argentina,Argentina
912,France,Argentina,Argentina
913,Brazil,Switzerland,Switzerland
914,Spain,England,Spain
915,Spain,Brazil,Spain
916,Spain,England,Spain
917,France,Brazil,France
918,France,Argentina,Argentina
919,Brazil,England,England
920,France,Argentina,France
921,France,Argentina,Argentina
922,England,Croatia,England
923,France,Spain,Spain
924,Spain,Brazil,Spain
925,France,Argentina,Argentina
926,France,Argentina,Argentina
927,France,Spain,Spain
928,Brazil,Argentina,Brazil
929,Netherlands,Argentina,Argentina
930,France,Argentina,France
931,Belgium,Brazil,Brazil
932,France,Switzerland,France
933,Germany,Argentina,Argentina
934,France,Argentina,France
935,Morocco,England,England
936,Belgium,France,France
937,France,Argentina,Argentina
938,France,Argentina,Argentina
939,France,Brazil,Brazil
940,Belgium,Portugal,Belgium
941,France,Spain,France
942,France,Argentina,Argentina
943,France,Spain,Spain
944,Spain,Croatia,Spain
945,Spain,Argentina,Argentina
946,Spain,Brazil,Spain
947,Spain,England,Spain
948,France,Argentina,Argentina
949,France,Spain,Spain
950,France,Argentina,France
951,France,Switzerland,Switzerland
952,France,England,France
953,France,Argentina,Argentina
954,France,Argentina,France
955,France,Argentina,France
956,France,Brazil,France
957,France,Portugal,France
958,Spain,England,England
959,France,England,France
960,France,Argentina,Argentina
961,Belgium,Argentina,Argentina
962,France,Argentina,France
963,France,Croatia,France
964,Spain,Portugal,Spain
965,France,Argentina,France
966,France,Argentina,France
967,Spain,Argentina,Argentina
968,France,England,England
969,Spain,Brazil,Brazil
970,France,Argentina,France
971,Belgium,Argentina,Argentina
972,France,Argentina,France
973,Spain,Argentina,Spain
974,France,England,France
975,England,Brazil,Brazil
976,France,England,France
977,Netherlands,Brazil,Netherlands
978,France,Argentina,Argentina
979,Belgium,Brazil,Brazil
980,France,Morocco,France
981,Croatia,England,England
982,France,Argentina,France
983,Croatia,Morocco,Croatia
984,Spain,England,Spain
985,France,Argentina,France
986,Netherlands,Argentina,Argentina
987,Spain,Portugal,Spain
988,Brazil,Argentina,Argentina
989,France,Argentina,France
990,Spain,Argentina,Spain
991,France,Portugal,Portugal
992,France,Brazil,France
993,France,Croatia,France
994,France,Argentina,Argentina
995,Brazil,England,Brazil
996,France,Argentina,Argentina
997,France,Portugal,France
998,Brazil,Argentina,Brazil
999,France,Argentina,Argentina
1000,United States,Mexico,Mexico
1001,Spain,England,Spain
1002,Spain,Morocco,Spain
1003,France,Uruguay,France
1004,Belgium,Brazil,Belgium
1005,France,Argentina,France
1006,Portugal,Brazil,Brazil
1007,Spain,Portugal,Spain
1008,France,Argentina,Argentina
1009,France,Argentina,Argentina
1010,France,Argentina,France
1011,France,Argentina,Argentina
1012,France,Argentina,France
1013,France,Morocco,France
1014,France,Portugal,France
1015,Brazil,Argentina,Argentina
1016,Spain,Argentina,Spain
1017,France,England,France
1018,Spain,Argentina,Spain
1019,France,Argentina,France
1020,Netherlands,France,France
1021,France,Morocco,France
1022,Netherlands,Argentina,Netherlands
1023,France,Argentina,Argentina
1024,Spain,Argentina,Argentina
1025,France,Brazil,France
1026,Germany,Argentina,Argentina
1027,Spain,Argentina,Spain
1028,France,England,France
1029,France,Argentina,Argentina
1030,Spain,Argentina,Argentina
1031,Spain,Argentina,Argentina
1032,France,England,France
1033,Spain,Argentina,Spain
1034,Spain,Brazil,Brazil
1035,France,Argentina,France
1036,Brazil,Portugal,Brazil
